Filter,Channel,SNR (dB),RMSE (μV),NRMSE (%),Correlation,PRD (%)
DB4 LVL:4 THR:1.0 hard,FP1-F7,5.091731845898792,3.1914587550801774e-05,1.1574421396035386,0.8995449384412154,44.715469454439635
DB4 LVL:4 THR:1.0 hard,F7-T7,5.8785089065933205,2.255868934146501e-05,1.7665915108760029,0.9068794679542008,42.66276780794476
DB4 LVL:4 THR:1.0 hard,T7-P7,3.9842447449232328,2.9860235145418455e-05,2.3351347718434683,0.8681116584390615,50.18215488861731
DB4 LVL:4 THR:1.0 hard,P7-O1,4.034874349807787,2.754092020642726e-05,2.1356237101202287,0.8701728116237711,49.86085400718244
DB4 LVL:4 THR:1.0 hard,FP1-F3,5.4474590922777155,3.086739356710961e-05,1.2363316682223133,0.9015379869180522,43.96619553748177
DB4 LVL:4 THR:1.0 hard,F3-C3,6.963912677259303,1.9799992196491008e-05,1.8697767747165213,0.9226132319351749,38.94000858528997
DB4 LVL:4 THR:1.0 soft,FP1-F7,5.040794266401615,3.1977126737436994e-05,1.1597102400410866,0.899435540616865,44.803092992899636
DB4 LVL:4 THR:1.0 soft,F7-T7,5.625016131947554,2.27777631243154e-05,1.7837473783637308,0.9061992411137152,43.07707795642378
DB4 LVL:4 THR:1.0 soft,T7-P7,3.7991156247110713,3.0004792790203148e-05,2.3464394913551736,0.8678822020874567,50.4250938368738
DB4 LVL:4 THR:1.0 soft,P7-O1,3.980030199508722,2.759110032908603e-05,2.1395148604130863,0.86995073157728,49.95170150796304
DB4 LVL:4 THR:1.0 soft,FP1-F3,5.398260533824216,3.093038408988856e-05,1.2388546275366519,0.9013454505369394,44.05591654471506
DB4 LVL:4 THR:1.0 soft,F3-C3,6.9069422386861365,1.985971968975647e-05,1.875417033490946,0.9222798685383842,39.057472727571145
DB4 LVL:4 THR:2.0 hard,FP1-F7,5.074499617304957,3.195859391006404e-05,1.159038112433819,0.8992597743243834,44.77712668282338
DB4 LVL:4 THR:2.0 hard,F7-T7,5.80734875222531,2.2682822431812635e-05,1.7763124862530537,0.9058652839058673,42.89752706769702
DB4 LVL:4 THR:2.0 hard,T7-P7,3.9422621548246077,2.9940388019781014e-05,2.341402899441115,0.8674187556323495,50.316857242314185
